tensor_size   100   100   100

tensor_rank     5     5     5

OS    10

conjugategradient	linesearchdefault

=============> beta: 1 <==============
 iter	                cost val	     grad. norm
    0	+2.1785487345057263e+05	8.39623705e+01
    1	+2.1777092203720391e+05	8.39442134e+01
    2	+2.1743529211237474e+05	8.38716682e+01
    3	+2.1609561037793348e+05	8.35828092e+01
    4	+2.1078389348603674e+05	8.24486236e+01
    5	+1.9035667819676650e+05	7.83279347e+01
    6	+1.2214822988598407e+05	6.65877255e+01
    7	+2.0705321846537943e+04	2.91249454e+01
    8	+1.0581586255143382e+04	2.54987696e+01
    9	+9.6355132190022159e+03	1.86688494e+01
   10	+6.5086303585970727e+03	1.44386411e+01
   11	+1.1487795566423797e+03	6.53841497e+00
   12	+8.2701557135229950e+02	4.95543512e+00
   13	+7.7254470989143874e+02	3.87607116e+00
   14	+5.9131042955927251e+02	2.75905463e+00
   15	+4.2964295571599962e+02	2.57647629e+00
   16	+4.0583966809632568e+02	2.95262063e+00
   17	+3.3814134833018232e+02	2.76853366e+00
   18	+1.6095721552510884e+02	1.62500689e+00
   19	+8.9615647658402935e+01	1.45248600e+00
   20	+6.4665180860989437e+01	1.19860941e+00
   21	+5.9081473886414955e+01	1.38726729e+00
   22	+4.8484052338281451e+01	1.11564279e+00
   23	+2.1282808785773923e+01	7.07250547e-01
   24	+1.1878389561311575e+01	6.60970561e-01
   25	+1.1839136596969778e+01	6.30882224e-01
   26	+1.1682843357699745e+01	6.25705187e-01
   27	+1.1067907350980194e+01	6.05577699e-01
   28	+8.7755685271713286e+00	5.25845960e-01
   29	+2.5233536601119946e+00	2.50987282e-01
   30	+8.0441800907602423e-01	2.02747598e-01
   31	+7.2473615619648346e-01	1.57963818e-01
   32	+4.6196575803064166e-01	1.22946138e-01
   33	+1.7710977141111112e-01	1.17914131e-01
   34	+1.1289431299337552e-01	6.23151283e-02
   35	+5.6712509820168594e-02	6.45431382e-02
User defined stopfun criterion triggered. See options.stopfun.
Total time is 1.096649 [s] (excludes statsfun)


=============> beta: 0.3 <==============
 iter	                cost val	     grad. norm
    0	+2.1785487345057263e+05	8.39623705e+01
    1	+2.1777092203720391e+05	8.39442134e+01
    2	+2.1743529211237474e+05	8.38716682e+01
    3	+2.1609561037793348e+05	8.35828092e+01
    4	+2.1078389348603674e+05	8.24486236e+01
    5	+1.9035667819676650e+05	7.83279347e+01
    6	+1.2214822988598407e+05	6.65877255e+01
    7	+2.0705321846537943e+04	2.91249454e+01
    8	+4.5941084672492352e+03	1.59724713e+01
    9	+3.5711872831235869e+03	1.42138593e+01
   10	+9.9097527208121892e+02	5.23859080e+00
   11	+4.7474442732547556e+02	2.58082227e+00
   12	+4.5832980579946150e+02	2.96025507e+00
   13	+4.0101305485935012e+02	2.43964882e+00
   14	+2.8734647457615364e+02	2.08880128e+00
   15	+1.9631023165495017e+02	2.06895365e+00
   16	+1.2452790590182394e+02	1.74800609e+00
   17	+7.4364821137254921e+01	1.44412580e+00
   18	+4.1722676549212906e+01	1.31896884e+00
   19	+1.1996343682015929e+01	6.90952253e-01
   20	+8.2969813825283509e+00	7.93181797e-01
   21	+9.7449677561452164e-01	1.83463998e-01
   22	+2.0220063689237838e-01	9.27755886e-02
   23	+7.3683039666313468e-02	6.45970267e-02
User defined stopfun criterion triggered. See options.stopfun.
Total time is 0.782116 [s] (excludes statsfun)


=============> beta: 0.09 <==============
 iter	                cost val	     grad. norm
    0	+2.1785487345057263e+05	8.39623705e+01
    1	+2.1777092203720391e+05	8.39442134e+01
    2	+2.1743529211237474e+05	8.38716682e+01
    3	+2.1609561037793348e+05	8.35828092e+01
    4	+2.1078389348603674e+05	8.24486236e+01
    5	+1.9035667819676650e+05	7.83279347e+01
    6	+1.2214822988598407e+05	6.65877255e+01
    7	+2.0705321846537943e+04	2.91249454e+01
    8	+4.4276529506907837e+03	1.55739168e+01
    9	+4.2358523424158011e+03	1.61551889e+01
   10	+3.5133094997632024e+03	1.43933763e+01
   11	+1.4396444559752513e+03	7.39961299e+00
   12	+5.8094681148158247e+02	3.68306214e+00
   13	+4.8774283404789378e+02	3.24759680e+00
   14	+3.1894352021730538e+02	2.13365794e+00
   15	+2.4594431427223856e+02	2.72177293e+00
   16	+1.4104234053521245e+02	2.24244555e+00
   17	+7.3813527325101120e+01	1.77844776e+00
   18	+3.5967049375374017e+01	1.41970370e+00
   19	+1.3557213608228082e+01	8.85289456e-01
   20	+3.3932400882919738e+00	3.14075733e-01
   21	+1.5209840675805548e+00	2.81629521e-01
   22	+1.0654677458431017e+00	2.77959082e-01
   23	+1.4577741664175636e-01	4.82503814e-02
   24	+3.2305000100914541e-02	4.42199654e-02
