tensor_size   100   100   100

tensor_rank    15    15    15

OS    30

conjugategradient	linesearchdefault

=============> beta: 1 <==============
 iter	                cost val	     grad. norm
   24	+1.7728456435817372e+02	1.33112961e+01
   25	+1.3945964911089177e+02	1.27915667e+01
   26	+3.0169588975058758e+01	5.71230962e+00
   27	+2.8260013294067029e+01	5.79366716e+00
   28	+2.1145952054094813e+01	4.99817580e+00
   29	+2.4622474866578536e+00	1.58777709e+00
   30	+2.8380792795628440e-01	3.47395885e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 53.398555 [s] (excludes statsfun)


=============> beta: 0.0081 <==============
 iter	                cost val	     grad. norm
    0	+5.9358628433949077e+08	1.70730159e+04
    1	+5.9356921151432419e+08	1.70726533e+04
    2	+5.9350092326868165e+08	1.70712062e+04
    3	+5.9322781936617756e+08	1.70654759e+04
    4	+5.9213620176703835e+08	1.70434812e+04
    5	+5.8778329986037076e+08	1.69703292e+04
    6	+5.7063503894577956e+08	1.69035364e+04
    7	+5.0755189340542138e+08	1.81718492e+04
    8	+3.2038068566991937e+08	1.61170180e+04
    9	+1.4339363409681001e+08	1.08434743e+04
   10	+2.0375976132949460e+07	4.03298671e+03
   11	+8.1783860327803763e+06	2.64966153e+03
   12	+2.5026962344781789e+06	1.43033805e+03
   13	+2.7966703272289142e+05	3.53101173e+02
   14	+2.2118213688540531e+05	3.35218727e+02
   15	+9.5251160718915067e+04	1.45808558e+02
   16	+6.5463980398348795e+04	1.55482752e+02
   17	+4.1923957154908567e+04	1.29391462e+02
   18	+2.7986570779105823e+04	1.18476465e+02
   19	+1.4022322063026471e+04	6.67110579e+01
   20	+1.3615433676789005e+04	1.12072928e+02
   21	+1.2041612711582264e+04	1.04857797e+02
   22	+6.6691862281920712e+03	7.50046825e+01
   23	+5.6029626310626072e+03	7.97582095e+01
   24	+2.1693954503492432e+03	4.88465143e+01
   25	+1.0388557954713169e+03	3.47285733e+01
   26	+4.2228891661186509e+01	5.63114506e+00
   27	+4.0081306938317439e+01	6.86652944e+00
   28	+3.1964857067022486e+01	6.10888167e+00
   29	+8.0401567343461622e+00	2.91288984e+00
   30	+3.8769367849203107e+00	2.09058991e+00
   31	+3.0021904578568859e-01	4.33796868e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 52.645184 [s] (excludes statsfun)


=============> beta: 0.00243 <==============
 iter	                cost val	     grad. norm
    0	+5.9358628433949077e+08	1.70730159e+04
    1	+5.9356921151432419e+08	1.70726533e+04
    2	+5.9350092326868165e+08	1.70712062e+04
    3	+5.9322781936617756e+08	1.70654759e+04
    4	+5.9213620176703835e+08	1.70434812e+04
    5	+5.8778329986037076e+08	1.69703292e+04
    6	+5.7063503894577956e+08	1.69035364e+04
    7	+5.0754953328504395e+08	1.81722304e+04
    8	+3.2044431946009839e+08	1.61204625e+04
    9	+1.4365985523695034e+08	1.08550721e+04
   10	+2.0070726241144072e+07	3.99554028e+03
   11	+8.8777258759969845e+06	2.76658816e+03
   12	+1.1047669976884597e+06	8.87869403e+02
   13	+1.8294760193923564e+05	1.79970987e+02
   14	+1.4992470238575921e+05	2.36237393e+02
   15	+8.6500265465054516e+04	1.51931153e+02
   16	+6.0079733762882410e+04	1.48768214e+02
   17	+3.9515107477056095e+04	1.24378207e+02
   18	+2.6191646733522990e+04	1.10819634e+02
   19	+1.4097418407653337e+04	6.97134470e+01
   20	+1.3529134168367586e+04	1.07336495e+02
   21	+1.1377862683533105e+04	9.61064708e+01
   22	+4.9744486119762660e+03	5.02308555e+01
   23	+2.1621683549297659e+03	3.46904899e+01
   24	+1.9848011505161753e+03	4.35716998e+01
   25	+1.3477245990557180e+03	3.48205312e+01
   26	+2.2417669397047791e+02	1.17719631e+01
   27	+1.3396530472358768e+02	1.24416802e+01
   28	+2.5936592169268010e+01	5.37341501e+00
   29	+2.0366784553496182e+00	1.07967541e+00
   30	+6.4266595828742057e-01	6.11568039e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 54.655689 [s] (excludes statsfun)


=============> beta: 0.000729 <==============
 iter	                cost val	     grad. norm
    0	+5.9358628433949077e+08	1.70730159e+04
    1	+5.9356921151432419e+08	1.70726533e+04
    2	+5.9350092326868165e+08	1.70712062e+04
    3	+5.9322781936617756e+08	1.70654759e+04
    4	+5.9213620176703835e+08	1.70434812e+04
    5	+5.8778329986037076e+08	1.69703292e+04
    6	+5.7063503894577956e+08	1.69035364e+04
    7	+5.0754882478580320e+08	1.81723450e+04
    8	+3.2046369382576185e+08	1.61215018e+04
    9	+1.4373897020016947e+08	1.08585198e+04
   10	+1.9982616071916193e+07	3.98463580e+03
   11	+9.0896267664349210e+06	2.80100711e+03
   12	+8.4155259595290862e+05	7.40418229e+02
   13	+3.7969674383552023e+05	4.74947922e+02
   14	+2.6957938353247393e+05	4.01340838e+02
   15	+1.0114870241625287e+05	1.84198096e+02
   16	+6.2404618636080333e+04	1.41265893e+02
   17	+5.6843211912234794e+04	1.93922489e+02
   18	+3.7929140344579035e+04	1.38845080e+02
   19	+3.6628927540116776e+04	1.74898913e+02
   20	+3.1648136008065921e+04	1.60478173e+02
   21	+1.5695522786403728e+04	9.92044250e+01
   22	+8.8520729249156393e+03	8.97114156e+01
   23	+7.0250652195849352e+03	8.91150758e+01
   24	+1.6886490594885304e+03	4.14774204e+01
   25	+1.1015203459747595e+03	3.56672191e+01
   26	+5.1830800929102438e+01	5.77064004e+00
   27	+3.8327156049133201e+01	6.63009718e+00
   28	+4.3017826794965881e+00	1.82057099e+00
   29	+1.4125881975266239e+00	1.04170367e+00
   30	+5.0669488269789076e-01	6.44960982e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 52.641755 [s] (excludes statsfun)


=============> beta: 0.0002187 <==============
 iter	                cost val	     grad. norm
    0	+5.9358628433949077e+08	1.70730159e+04
    1	+5.9356921151432419e+08	1.70726533e+04
    2	+5.9350092326868165e+08	1.70712062e+04
    3	+5.9322781936617756e+08	1.70654759e+04
    4	+5.9213620176703835e+08	1.70434812e+04
    5	+5.8778329986037076e+08	1.69703292e+04
    6	+5.7063503894577956e+08	1.69035364e+04
    7	+5.0754861219435459e+08	1.81723794e+04
    8	+3.2046953235614276e+08	1.61218141e+04
    9	+1.4376264001096332e+08	1.08595513e+04
   10	+1.9956488310761988e+07	3.98139374e+03
   11	+9.1533613894320540e+06	2.81127298e+03
   12	+7.7540691577317822e+05	6.98206800e+02
   13	+5.0936605734866852e+05	5.86785296e+02
   14	+1.7682786469525727e+05	2.67984762e+02
   15	+1.5553627245864939e+05	2.99655544e+02
   16	+8.9148281547591032e+04	1.82672366e+02
   17	+5.5379228322170668e+04	1.64306542e+02
   18	+2.3775109110733552e+04	8.79828435e+01
   19	+1.5997451379133719e+04	1.05050491e+02
   20	+6.7292325434166269e+03	7.22687080e+01
   21	+5.0849813759411409e+03	7.34240888e+01
   22	+7.9951311300785164e+02	2.39243752e+01
   23	+5.3524459245866865e+02	2.44188280e+01
   24	+2.3815758080377613e+01	3.31951613e+00
   25	+1.9522852362037284e+01	4.79080513e+00
   26	+6.1835366112029577e+00	2.65998063e+00
   27	+2.2902207563264426e-01	4.51591950e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 47.443411 [s] (excludes statsfun)


=============> beta: 6.561e-05 <==============
 iter	                cost val	     grad. norm
    0	+5.9358628433949077e+08	1.70730159e+04
    1	+5.9356921151432419e+08	1.70726533e+04
    2	+5.9350092326868165e+08	1.70712062e+04
    3	+5.9322781936617756e+08	1.70654759e+04
    4	+5.9213620176703835e+08	1.70434812e+04
    5	+5.8778329986037076e+08	1.69703292e+04
    6	+5.7063503894577956e+08	1.69035364e+04
    7	+5.0754854841316223e+08	1.81723897e+04
    8	+3.2047128588961875e+08	1.61219079e+04
    9	+1.4376973331430495e+08	1.08598605e+04
   10	+1.9948679626726501e+07	3.98042402e+03
   11	+9.1724907942830063e+06	2.81434652e+03
   12	+7.5669072899797512e+05	6.85762256e+02
   13	+5.5528681905720127e+05	6.21012724e+02
   14	+1.2830931809551621e+05	1.42254911e+02
   15	+9.3372765088938424e+04	1.81426256e+02
   16	+8.1372062929607928e+04	2.18802273e+02
   17	+4.5249187402947282e+04	1.23959457e+02
   18	+3.9927207128670096e+04	1.66227270e+02
   19	+2.2636483491620507e+04	1.07426038e+02
   20	+1.1271836393133433e+04	8.22512939e+01
