tensor_size   150   150   150

tensor_rank    10    10    10

OS    10

conjugategradient	linesearchdefault

=============> beta: 1 <==============
 iter	                cost val	     grad. norm
    0	+1.8945488770955652e+07	8.09270830e+02
    1	+1.8944679512978286e+07	8.09247875e+02
    2	+1.8941442686971426e+07	8.09156219e+02
    3	+1.8928498693919979e+07	8.08792230e+02
    4	+1.8876776748428322e+07	8.07378466e+02
    5	+1.8670818427750614e+07	8.02399473e+02
    6	+1.7865113259608686e+07	7.92527777e+02
    7	+1.4938001195837887e+07	7.98186614e+02
    8	+6.8920911221616287e+06	5.81619349e+02
    9	+2.3873439240901293e+06	3.70343789e+02
   10	+1.5847460580053930e+06	3.06057570e+02
   11	+8.7912460166166793e+05	2.07789117e+02
   12	+4.1535628239322139e+05	1.41013712e+02
   13	+1.5816283129756688e+05	9.19276719e+01
   14	+9.0608544994554934e+04	5.94830750e+01
   15	+3.2003639979277959e+04	3.10141352e+01
   16	+1.4730830634630041e+04	1.88688780e+01
   17	+1.1744404256664191e+04	1.18991061e+01
   18	+1.0618407390134136e+04	1.34587386e+01
   19	+9.5904737447578282e+03	1.18511449e+01
   20	+6.8214370741049415e+03	8.37935899e+00
   21	+4.4017037082194674e+03	7.97393694e+00
   22	+3.4918489614570699e+03	7.63230801e+00
   23	+2.5148647765724800e+03	7.54253749e+00
   24	+1.7696094701883467e+03	6.39094766e+00
   25	+1.0659153662700503e+03	5.60439296e+00
   26	+7.6287539776968822e+02	4.35423254e+00
   27	+2.2898346343783109e+02	2.83928792e+00
   28	+9.4716406189337476e+01	1.78390426e+00
   29	+5.2436805522739121e+01	1.70448423e+00
   30	+4.3424295149332622e+01	1.37141949e+00
   31	+1.5292604865686886e+01	7.84405965e-01
   32	+1.3331431638289166e+01	7.92012762e-01
   33	+1.2928210735031096e+01	7.39487323e-01
   34	+1.1367021127633013e+01	6.92124193e-01
   35	+6.0043040345298895e+00	4.97579364e-01
   36	+4.3342019404787742e+00	4.45489691e-01
   37	+4.1888408197491138e+00	4.24117093e-01
   38	+3.6279691970746635e+00	3.94129772e-01
   39	+1.7382070149095816e+00	2.70375070e-01
   40	+5.6725208053042875e-02	5.09430009e-02
User defined stopfun criterion triggered. See options.stopfun.
Total time is 8.171625 [s] (excludes statsfun)


=============> beta: 0.3 <==============
 iter	                cost val	     grad. norm
    0	+1.8945488770955652e+07	8.09270830e+02
    1	+1.8944679512978286e+07	8.09247875e+02
    2	+1.8941442686971426e+07	8.09156219e+02
    3	+1.8928498693919979e+07	8.08792230e+02
    4	+1.8876776748428322e+07	8.07378466e+02
    5	+1.8670818427750614e+07	8.02399473e+02
    6	+1.7865113259608686e+07	7.92527777e+02
    7	+1.4936635862538073e+07	7.98210947e+02
    8	+7.0580482555738576e+06	5.92811147e+02
    9	+2.3610960719427527e+06	3.64603952e+02
   10	+2.1925800637035132e+06	3.74741284e+02
   11	+1.5838618329085787e+06	3.10244673e+02
   12	+2.0847314469353860e+05	8.61322813e+01
   13	+1.4021675244061922e+05	9.01045149e+01
   14	+3.6139796575931308e+04	3.54533987e+01
   15	+2.3824564336777505e+04	2.91488474e+01
   16	+1.7676390947278171e+04	2.41702329e+01
   17	+1.0123257106376785e+04	1.00526149e+01
   18	+9.4743076354902787e+03	1.07146966e+01
   19	+7.7074827089700166e+03	7.67182342e+00
   20	+6.2500600783833215e+03	1.00164978e+01
   21	+5.3194094767774695e+03	1.34149063e+01
   22	+2.8645223097008538e+03	6.37194919e+00
   23	+1.6158705696898653e+03	6.47562341e+00
   24	+1.0779331418591778e+03	7.57620561e+00
   25	+4.7110822812130181e+02	4.68146032e+00
   26	+4.1258795176721378e+02	5.62714514e+00
   27	+2.1510310197384791e+02	3.90071047e+00
   28	+3.4023497688420761e+01	1.06374312e+00
   29	+2.6594354319296507e+01	1.45152484e+00
   30	+6.4495651606771647e+00	6.00175435e-01
   31	+5.8959552241193869e+00	7.18366993e-01
   32	+3.9025137525533582e+00	5.79143023e-01
   33	+1.8860915204416145e-01	8.34520076e-02
User defined stopfun criterion triggered. See options.stopfun.
Total time is 6.254097 [s] (excludes statsfun)


=============> beta: 0.09 <==============
 iter	                cost val	     grad. norm
    0	+1.8945488770955652e+07	8.09270830e+02
    1	+1.8944679512978286e+07	8.09247875e+02
    2	+1.8941442686971426e+07	8.09156219e+02
    3	+1.8928498693919979e+07	8.08792230e+02
    4	+1.8876776748428322e+07	8.07378466e+02
    5	+1.8670818427750614e+07	8.02399473e+02
    6	+1.7865113259608686e+07	7.92527777e+02
    7	+1.4936224845970264e+07	7.98218731e+02
    8	+7.1211635064812321e+06	5.96529103e+02
    9	+2.3423445088601187e+06	3.61744638e+02
   10	+3.0292088019268494e+05	1.11857351e+02
   11	+2.2728080065881979e+05	1.22400169e+02
   12	+4.5689388382141078e+04	4.10137887e+01
   13	+1.7925993344316550e+04	2.56531245e+01
   14	+1.0388768829496603e+04	1.22543142e+01
   15	+8.9859587437368282e+03	1.05230903e+01
   16	+7.7058142195311011e+03	1.10415177e+01
   17	+6.5933930055877627e+03	1.32285046e+01
   18	+4.5614351438642034e+03	7.90197451e+00
   19	+3.4736250574581900e+03	7.07769453e+00
   20	+2.6355598107989199e+03	7.67613564e+00
   21	+1.8034216016175787e+03	4.41278594e+00
   22	+1.7607468195000126e+03	8.61531867e+00
   23	+1.5974410805392454e+03	7.87038328e+00
   24	+1.0788507574731109e+03	4.83201506e+00
   25	+7.6470800579145634e+02	5.02086087e+00
   26	+5.2802045402576721e+02	5.61940964e+00
   27	+1.3692805210988385e+02	2.40154836e+00
   28	+4.6859364506058540e+01	1.30749396e+00
   29	+2.7168803191107173e+01	1.39359322e+00
   30	+1.6568265737801912e+01	1.16599793e+00
   31	+3.9096782549233247e+00	5.28198616e-01
   32	+3.7334825583395657e+00	5.65383009e-01
   33	+3.0640872917195074e+00	5.08375400e-01
   34	+1.0224012064837869e+00	2.68534155e-01
   35	+2.5714372488688786e-01	9.91687057e-02
User defined stopfun criterion triggered. See options.stopfun.
Total time is 7.007551 [s] (excludes statsfun)


=============> beta: 0.027 <==============
 iter	                cost val	     grad. norm
    0	+1.8945488770955652e+07	8.09270830e+02
    1	+1.8944679512978286e+07	8.09247875e+02
    2	+1.8941442686971426e+07	8.09156219e+02
    3	+1.8928498693919979e+07	8.08792230e+02
    4	+1.8876776748428322e+07	8.07378466e+02
    5	+1.8670818427750614e+07	8.02399473e+02
    6	+1.7865113259608686e+07	7.92527777e+02
    7	+1.4936101415569685e+07	7.98221111e+02
    8	+7.1413856855092123e+06	5.97673364e+02
    9	+2.3359942576154619e+06	3.60797034e+02
   10	+3.3275441146375844e+05	1.19255460e+02
   11	+2.0466200689814118e+05	1.17646424e+02
   12	+3.0292400293409046e+04	3.42073115e+01
   13	+1.1313293729930780e+04	1.16417140e+01
   14	+9.7443188825655143e+03	1.20772447e+01
   15	+7.8258498304736531e+03	9.58869587e+00
   16	+6.3479259031747997e+03	9.54707917e+00
   17	+5.1294973083716759e+03	8.31140388e+00
   18	+4.2317335202576669e+03	8.23717812e+00
   19	+4.1891041981826856e+03	1.20092810e+01
   20	+4.0223373598732542e+03	1.14967943e+01
