tensor_size   200   200   200

tensor_rank    10    10    10

OS    30

conjugategradient	linesearchdefault

=============> beta: 1 <==============
 iter	                cost val	     grad. norm
    0	+8.7769426228855908e+07	2.11581939e+03
    1	+8.7767310423136055e+07	2.11579568e+03
    2	+8.7758847419062883e+07	2.11570087e+03
    3	+8.7724998908165038e+07	2.11532262e+03
    4	+8.7589661238776386e+07	2.11382492e+03
    5	+8.7049231007468581e+07	2.10807915e+03
    6	+8.4903421342375174e+07	2.08898496e+03
    7	+7.6645282163800493e+07	2.06511774e+03
    8	+5.0526466717938326e+07	2.02072329e+03
    9	+6.8303786975284051e+06	6.92136016e+02
   10	+1.6939634374765859e+06	3.65391615e+02
   11	+7.2666429287186265e+05	2.57644039e+02
   12	+6.9350402549353056e+05	2.01490148e+02
   13	+5.6961323766441678e+05	1.77428943e+02
   14	+2.0797207572632135e+05	9.11332471e+01
   15	+4.2180169625809533e+04	2.92384256e+01
   16	+3.3845149385762139e+04	1.47137620e+01
   17	+3.0935640870151707e+04	2.54993904e+01
   18	+3.0018576541468858e+04	2.86389021e+01
   19	+2.6447803842949161e+04	2.68614226e+01
   20	+1.5508981051939671e+04	2.03521537e+01
   21	+1.0838422822960634e+04	2.42596267e+01
   22	+9.0619098402056043e+03	2.09302325e+01
   23	+3.7251676929930572e+03	1.31005633e+01
   24	+1.8243851962209728e+03	1.18108112e+01
   25	+1.5941303711153150e+03	9.60302281e+00
   26	+8.2307808341855764e+02	6.64939918e+00
   27	+8.2108078515513068e+02	7.83964317e+00
   28	+8.1346817768440451e+02	7.74461885e+00
   29	+7.8334252683934278e+02	7.57927513e+00
   30	+6.6812872832594212e+02	6.91722576e+00
   31	+2.9824862699928667e+02	4.31840716e+00
   32	+6.2901493268427608e+01	2.55545899e+00
   33	+4.1538595567651392e+01	1.68381392e+00
   34	+2.8195104037470351e+00	5.16806642e-01
   35	+4.8241340435011354e-01	1.88628450e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 23.215006 [s] (excludes statsfun)


=============> beta: 0.3 <==============
 iter	                cost val	     grad. norm
    0	+8.7769426228855908e+07	2.11581939e+03
    1	+8.7767310423136055e+07	2.11579568e+03
    2	+8.7758847419062883e+07	2.11570087e+03
    3	+8.7724998908165038e+07	2.11532262e+03
    4	+8.7589661238776386e+07	2.11382492e+03
    5	+8.7049231007468581e+07	2.10807915e+03
    6	+8.4903421342375174e+07	2.08898496e+03
    7	+7.6645282163800493e+07	2.06511774e+03
    8	+5.0526466717938326e+07	2.02072329e+03
    9	+6.8303786975284051e+06	6.92136016e+02
   10	+4.5333738963173535e+06	6.87678495e+02
   11	+9.3344590065799805e+05	2.41513296e+02
   12	+1.8391418783279776e+05	1.13993467e+02
   13	+5.4612704399674025e+04	4.67040828e+01
   14	+3.6318554993670798e+04	2.55557315e+01
   15	+3.1981430007240793e+04	2.55683887e+01
   16	+2.6867538468228806e+04	3.15122222e+01
   17	+1.9815879234633372e+04	3.05198902e+01
   18	+1.8256541677525871e+04	3.67298227e+01
   19	+1.2639923576889949e+04	3.00074507e+01
   20	+7.4593413325996371e+03	2.63058121e+01
   21	+6.7627074195609239e+03	2.69854058e+01
   22	+4.2772683554737769e+03	2.12742378e+01
   23	+1.2518945306874361e+03	1.14105428e+01
   24	+3.2454300084179710e+02	6.12020420e+00
   25	+1.2993779263108559e+02	4.13592207e+00
   26	+4.1981877849706777e+01	2.37883844e+00
   27	+1.7149213360005875e+00	3.63313974e-01
   28	+1.1657934931954417e+00	3.98024535e-01
   29	+6.5187968513038624e-02	6.37753379e-02
User defined stopfun criterion triggered. See options.stopfun.
Total time is 17.955361 [s] (excludes statsfun)


=============> beta: 0.09 <==============
 iter	                cost val	     grad. norm
    0	+8.7769426228855908e+07	2.11581939e+03
    1	+8.7767310423136055e+07	2.11579568e+03
    2	+8.7758847419062883e+07	2.11570087e+03
    3	+8.7724998908165038e+07	2.11532262e+03
    4	+8.7589661238776386e+07	2.11382492e+03
    5	+8.7049231007468581e+07	2.10807915e+03
    6	+8.4903421342375174e+07	2.08898496e+03
    7	+7.6645282163800493e+07	2.06511774e+03
    8	+5.0526466717938326e+07	2.02072329e+03
    9	+6.8303786975284051e+06	6.92136016e+02
   10	+4.5824401893060580e+06	6.90020101e+02
   11	+5.4137019667536777e+05	1.80414043e+02
   12	+1.1209370676820175e+05	8.43792240e+01
   13	+5.0199917694757911e+04	4.39356966e+01
   14	+3.9281141362290880e+04	3.51893629e+01
   15	+3.5616412838783290e+04	3.31867730e+01
   16	+2.5687378360996867e+04	2.32023436e+01
   17	+2.1190269802562809e+04	3.12147719e+01
   18	+1.3139111088691188e+04	2.38511712e+01
   19	+1.0104390221115260e+04	2.94277981e+01
   20	+3.3887739968470310e+03	1.29365211e+01
   21	+2.4194670721632338e+03	1.57917427e+01
   22	+2.9561359605890368e+02	3.93501631e+00
   23	+4.3215868070556397e+01	1.90851624e+00
   24	+3.1180600335256386e+01	1.98389115e+00
   25	+2.3331739608089732e+00	4.58825817e-01
   26	+1.7046146847760035e+00	4.46758625e-01
   27	+1.6094098940144314e-01	1.17567715e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 17.073943 [s] (excludes statsfun)


=============> beta: 0.027 <==============
 iter	                cost val	     grad. norm
    0	+8.7769426228855908e+07	2.11581939e+03
    1	+8.7767310423136055e+07	2.11579568e+03
    2	+8.7758847419062883e+07	2.11570087e+03
    3	+8.7724998908165038e+07	2.11532262e+03
    4	+8.7589661238776386e+07	2.11382492e+03
    5	+8.7049231007468581e+07	2.10807915e+03
    6	+8.4903421342375174e+07	2.08898496e+03
    7	+7.6645282163800493e+07	2.06511774e+03
    8	+5.0526466717938326e+07	2.02072329e+03
    9	+6.8303786975284051e+06	6.92136016e+02
   10	+4.6614952944910480e+06	6.95470410e+02
   11	+4.7851983763240586e+05	1.66255041e+02
   12	+1.1094507701878423e+05	9.79737112e+01
   13	+9.8636087410533379e+04	8.69983532e+01
   14	+6.1191713963564616e+04	5.33059039e+01
   15	+3.8005329719249094e+04	3.33974068e+01
   16	+3.6553895260911275e+04	4.23233645e+01
   17	+3.1588086334690175e+04	3.26968095e+01
   18	+2.1495894581651155e+04	2.39289998e+01
   19	+1.6841874953578390e+04	3.10659643e+01
   20	+9.3548198654476528e+03	2.09797551e+01
   21	+5.4875376735577356e+03	1.55225219e+01
   22	+4.3775966422122492e+03	1.86597788e+01
   23	+1.7821933589282089e+03	7.33484699e+00
   24	+7.3325821246541727e+02	7.09179007e+00
   25	+5.8671728732149450e+02	8.02923211e+00
   26	+1.5824121642196039e+02	3.83813134e+00
   27	+6.3170539072545616e+01	2.71732084e+00
   28	+2.5105293009440871e+01	1.79435581e+00
   29	+8.7550142424159070e+00	1.08188021e+00
   30	+7.3996388813604455e+00	1.01341990e+00
   31	+2.9790920302684625e+00	6.39621990e-01
   32	+7.8973445828038158e-01	3.30483001e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 19.493695 [s] (excludes statsfun)


=============> beta: 0.0081 <==============
 iter	                cost val	     grad. norm
    0	+8.7769426228855908e+07	2.11581939e+03
    1	+8.7767310423136055e+07	2.11579568e+03
    2	+8.7758847419062883e+07	2.11570087e+03
    3	+8.7724998908165038e+07	2.11532262e+03
    4	+8.7589661238776386e+07	2.11382492e+03
    5	+8.7049231007468581e+07	2.10807915e+03
    6	+8.4903421342375174e+07	2.08898496e+03
