tensor_size   150   150   150

tensor_rank    15    15    15

OS    20

conjugategradient	linesearchdefault

=============> beta: 1 <==============
 iter	                cost val	     grad. norm
    0	+5.6328883382130980e+08	8.25427126e+03
    1	+5.6328057957847118e+08	8.25421830e+03
    2	+5.6324756306213331e+08	8.25400688e+03
    3	+5.6311550429679537e+08	8.25316779e+03
    4	+5.6258738730544353e+08	8.24991720e+03
    5	+5.6047689162744308e+08	8.23861471e+03
    6	+5.5207234254509914e+08	8.22082155e+03
    7	+5.1956358943468213e+08	8.52745234e+03
    8	+4.1567278116325748e+08	9.07154465e+03
    9	+1.8076607869119740e+08	5.90829257e+03
   10	+7.4149834500615001e+07	4.06092396e+03
   11	+6.8385099851836979e+07	3.86973294e+03
   12	+4.8309126189347818e+07	3.19558426e+03
   13	+5.5985761579301031e+06	8.69363889e+02
   14	+5.1586137555627041e+06	1.04442412e+03
   15	+4.4508302328528380e+06	8.23118174e+02
   16	+2.1895072494198103e+06	5.20462642e+02
   17	+5.2424052731743752e+05	2.96397216e+02
   18	+3.2624058986176009e+05	2.49093626e+02
   19	+3.2369311675273866e+05	1.73920842e+02
   20	+3.1374424013880210e+05	1.67839432e+02
   21	+2.7691682201257534e+05	1.45187341e+02
   22	+1.7372746287855005e+05	8.17499882e+01
   23	+1.3998234327651671e+05	1.49416063e+02
   24	+1.2832607686935240e+05	7.22239975e+01
   25	+1.0104170156725874e+05	7.20215880e+01
   26	+7.6759957634133156e+04	6.66849151e+01
   27	+7.6055498330142669e+04	8.22001742e+01
   28	+7.3337377965866413e+04	8.01214411e+01
   29	+6.3116653777710235e+04	7.18919971e+01
   30	+3.3150111762779576e+04	4.58284868e+01
   31	+1.6061373730730773e+04	4.15903470e+01
   32	+1.3463114062509283e+04	3.85438127e+01
   33	+5.5823949696716736e+03	2.41644531e+01
   34	+2.2456636157637313e+03	2.00243560e+01
   35	+1.8573126905977188e+03	1.55079323e+01
   36	+6.6091037306657427e+02	8.76368123e+00
   37	+5.5983389499476561e+02	8.92130995e+00
   38	+5.5812016271352036e+02	8.21414448e+00
   39	+5.5128768819538038e+02	8.16160273e+00
   40	+5.2430911687524303e+02	7.95315639e+00
   41	+4.2215240660600728e+02	7.11116085e+00
   42	+1.1586598682463793e+02	3.62245478e+00
   43	+1.7861232158071701e+01	1.54558231e+00
   44	+1.7454135338240867e+01	1.38414791e+00
   45	+1.5873061863640958e+01	1.31472372e+00
   46	+1.0207501917812875e+01	1.04377245e+00
   47	+4.8446688494477447e-01	2.83703623e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 67.150416 [s] (excludes statsfun)


=============> beta: 0.3 <==============
 iter	                cost val	     grad. norm
    0	+5.6328883382130980e+08	8.25427126e+03
    1	+5.6328057957847118e+08	8.25421830e+03
    2	+5.6324756306213331e+08	8.25400688e+03
    3	+5.6311550429679537e+08	8.25316779e+03
    4	+5.6258738730544353e+08	8.24991720e+03
    5	+5.6047689162744308e+08	8.23861471e+03
    6	+5.5207234254509914e+08	8.22082155e+03
    7	+5.1956358943468213e+08	8.52745234e+03
    8	+4.1365968998957479e+08	9.18970558e+03
    9	+1.5181085791504666e+08	5.27506483e+03
   10	+9.6211130263821632e+07	4.70097227e+03
   11	+1.5602415612308837e+07	1.73867258e+03
   12	+3.5303093024502671e+06	8.62940049e+02
   13	+2.0494400192855706e+06	6.58037099e+02
   14	+8.6661263587911846e+05	4.00151998e+02
   15	+4.1472267474958266e+05	2.54075497e+02
   16	+2.2942639523554733e+05	1.56938219e+02
   17	+1.5665676996040123e+05	1.16623465e+02
   18	+8.7666260173790521e+04	7.59069889e+01
   19	+6.4489079987448247e+04	8.33547107e+01
   20	+4.9287814327228625e+04	8.72440797e+01
   21	+1.8257755161809488e+04	4.00614261e+01
   22	+1.1429895988242915e+04	4.33028836e+01
   23	+1.0100890169708076e+04	4.85185235e+01
   24	+5.5697402581331771e+03	3.45756301e+01
   25	+5.3836186309695568e+03	3.98383591e+01
   26	+4.6658235919801300e+03	3.70425623e+01
   27	+2.2514760871333806e+03	2.53378686e+01
   28	+1.8091292105959201e+02	5.78047782e+00
   29	+1.3264977688574993e+02	6.41321621e+00
   30	+1.2407050977319454e+01	1.75982146e+00
   31	+3.1242708405846913e+00	9.18823941e-01
   32	+1.2973551875988014e+00	6.31391145e-01
   33	+3.1984538086925085e-01	3.12428701e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 48.972750 [s] (excludes statsfun)


=============> beta: 0.09 <==============
 iter	                cost val	     grad. norm
    0	+5.6328883382130980e+08	8.25427126e+03
    1	+5.6328057957847118e+08	8.25421830e+03
    2	+5.6324756306213331e+08	8.25400688e+03
    3	+5.6311550429679537e+08	8.25316779e+03
    4	+5.6258738730544353e+08	8.24991720e+03
    5	+5.6047689162744308e+08	8.23861471e+03
    6	+5.5207234254509914e+08	8.22082155e+03
    7	+5.1956358943468213e+08	8.52745234e+03
    8	+4.1276972312665415e+08	9.25346534e+03
    9	+1.4280983897569603e+08	5.12783085e+03
   10	+1.2446115353655064e+08	5.38783087e+03
   11	+6.3121911083868906e+07	3.71954652e+03
   12	+6.2049673824033275e+07	3.92575202e+03
   13	+5.7846651445705615e+07	3.77700617e+03
   14	+4.2406365104771912e+07	3.19086298e+03
   15	+4.8645829806796834e+06	9.26268396e+02
   16	+7.2527520847719605e+05	3.13056870e+02
   17	+6.3847296451571211e+05	3.64128798e+02
   18	+3.6408580689198308e+05	2.33970228e+02
   19	+1.4081417801806022e+05	7.30378699e+01
   20	+1.2281827133731250e+05	9.86437999e+01
   21	+7.9139804021304997e+04	7.11771219e+01
   22	+7.5759534098392964e+04	1.08819976e+02
   23	+6.3154069821675977e+04	9.48526906e+01
   24	+3.1948793008523797e+04	4.03913714e+01
   25	+1.6662630922094766e+04	3.75868579e+01
   26	+1.5653189068684704e+04	5.70556707e+01
   27	+1.1909548412616325e+04	4.88067509e+01
   28	+2.7328854828173817e+03	1.73389281e+01
   29	+4.0699630443416902e+02	7.59847308e+00
   30	+3.2077132473180131e+02	9.08394383e+00
   31	+7.2188865568488410e+01	4.10504157e+00
   32	+5.2261272741845886e+01	3.74620105e+00
   33	+3.7241538360073827e+00	9.11869826e-01
   34	+2.3368973375712674e+00	7.68763211e-01
   35	+1.9898408270406442e-01	2.21109956e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 51.987998 [s] (excludes statsfun)


=============> beta: 0.027 <==============
 iter	                cost val	     grad. norm
