tensor_size   150   150   150

tensor_rank    15    15    15

OS    30

conjugategradient	linesearchdefault

=============> beta: 1 <==============
 iter	                cost val	     grad. norm
    0	+8.0958789200210023e+08	1.20288608e+04
    1	+8.0957586319100380e+08	1.20287656e+04
    2	+8.0952774874319291e+08	1.20283853e+04
    3	+8.0933530373758209e+08	1.20268765e+04
    4	+8.0856573085805476e+08	1.20210411e+04
    5	+8.0549091451866901e+08	1.20008572e+04
    6	+7.9325661285925841e+08	1.19679036e+04
    7	+7.4577959861365700e+08	1.23466336e+04
    8	+5.8945402783000457e+08	1.29990633e+04
    9	+2.2684030151540691e+08	7.96871480e+03
   10	+1.5127245769789150e+08	7.19084245e+03
   11	+1.3028885295145985e+08	6.49501890e+03
   12	+6.1232346130833179e+07	4.31101195e+03
   13	+8.7316527561422028e+06	1.67969750e+03
   14	+4.5623343001987562e+06	1.19699768e+03
   15	+8.2279549504886416e+05	4.06676576e+02
   16	+4.9641126791914681e+05	3.16698254e+02
   17	+4.0754165829244605e+05	2.99510143e+02
   18	+2.9303951386684272e+05	1.60873390e+02
   19	+2.7383699047051359e+05	2.05189257e+02
   20	+2.4397307280530693e+05	1.70512857e+02
   21	+1.5697108902494996e+05	1.02310055e+02
   22	+1.0235448421708368e+05	1.22437678e+02
   23	+9.6579855265935912e+04	1.03150690e+02
   24	+7.6557014967063194e+04	8.39255535e+01
   25	+3.5777253629540588e+04	5.56680874e+01
   26	+3.0130571626982459e+04	6.29736499e+01
   27	+2.4846828648710187e+04	5.77025751e+01
   28	+9.9905295313978495e+03	3.40258740e+01
   29	+2.9176114231656520e+03	2.49519017e+01
   30	+1.5610399365533408e+03	1.63432084e+01
   31	+3.1253746660535637e+02	8.55793173e+00
   32	+7.4924713384103882e+01	4.71045624e+00
   33	+2.3944054017143038e+01	2.41502120e+00
   34	+5.3232114674764262e+00	1.29504136e+00
   35	+2.1318904475084639e+00	7.49613649e-01
   36	+1.7728571017700820e+00	7.69402483e-01
   37	+1.6899595943797308e+00	6.77727944e-01
   38	+1.3786947825897671e+00	6.04476346e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 85.683038 [s] (excludes statsfun)


=============> beta: 0.3 <==============
 iter	                cost val	     grad. norm
    0	+8.0958789200210023e+08	1.20288608e+04
    1	+8.0957586319100380e+08	1.20287656e+04
    2	+8.0952774874319291e+08	1.20283853e+04
    3	+8.0933530373758209e+08	1.20268765e+04
    4	+8.0856573085805476e+08	1.20210411e+04
    5	+8.0549091451866901e+08	1.20008572e+04
    6	+7.9325661285925841e+08	1.19679036e+04
    7	+7.4577959861365700e+08	1.23466336e+04
    8	+5.8844387659706497e+08	1.32060930e+04
    9	+1.9589842367276686e+08	7.24371955e+03
   10	+3.3693554128879875e+07	3.09660488e+03
   11	+6.3700353194091721e+06	1.40773780e+03
   12	+6.5987113911416521e+05	3.51902283e+02
   13	+3.8832937601420772e+05	2.80966376e+02
   14	+2.2463384335060359e+05	1.13131395e+02
   15	+1.7731974805908778e+05	1.22979710e+02
   16	+1.6457989326491207e+05	1.67475245e+02
   17	+1.2120389419074490e+05	1.26562138e+02
   18	+7.9185695794737388e+04	1.34024044e+02
   19	+6.6028814612560207e+04	1.43624399e+02
   20	+2.6109125914696742e+04	8.00331847e+01
   21	+7.3117908935814685e+03	4.17638683e+01
   22	+3.3338239343586329e+03	3.81564159e+01
   23	+5.1989867682896454e+02	1.33260055e+01
   24	+1.8537840880344109e+02	9.12847705e+00
   25	+1.4423873058087042e+02	8.14240668e+00
   26	+2.8609630635927573e+01	3.40950297e+00
   27	+2.9160175621969708e+00	8.83798033e-01
   28	+4.2942127266856223e-01	4.29747203e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 65.640248 [s] (excludes statsfun)


=============> beta: 0.09 <==============
 iter	                cost val	     grad. norm
    0	+8.0958789200210023e+08	1.20288608e+04
    1	+8.0957586319100380e+08	1.20287656e+04
    2	+8.0952774874319291e+08	1.20283853e+04
    3	+8.0933530373758209e+08	1.20268765e+04
    4	+8.0856573085805476e+08	1.20210411e+04
    5	+8.0549091451866901e+08	1.20008572e+04
    6	+7.9325661285925841e+08	1.19679036e+04
    7	+7.4577959861365700e+08	1.23466336e+04
    8	+5.8870139497211301e+08	1.33142575e+04
    9	+1.9984322964106625e+08	7.41562609e+03
   10	+3.6571732992087953e+07	3.18976259e+03
   11	+6.1352823124986384e+06	1.30405779e+03
   12	+1.7111319145808457e+06	6.97742979e+02
   13	+6.9213072345848277e+05	4.24138036e+02
   14	+5.9506619770961255e+05	3.94692200e+02
   15	+3.2982547200302873e+05	2.21460532e+02
   16	+2.7186102953481278e+05	2.33949255e+02
   17	+1.7179614001465467e+05	1.78578557e+02
   18	+1.5752772354331138e+05	1.61728442e+02
   19	+1.1198424413527499e+05	1.14588263e+02
   20	+7.3689995961637149e+04	1.18770182e+02
   21	+5.8388302642516799e+04	1.50936335e+02
   22	+2.9413921270000719e+04	6.32035270e+01
   23	+1.5572544706259365e+04	3.67659594e+01
   24	+1.0382617987367739e+04	3.63757513e+01
   25	+5.4158167689528564e+03	3.37339026e+01
   26	+2.0519433695937851e+03	2.38350354e+01
   27	+4.8055785539235853e+02	1.05073472e+01
   28	+1.1880594084950376e+02	5.62668548e+00
   29	+2.9124966665920113e+01	2.33604947e+00
   30	+8.1644002527028157e+00	1.50549666e+00
   31	+5.0855273068324500e+00	1.49890740e+00
   32	+5.9959097250347781e-01	4.78640808e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 71.345736 [s] (excludes statsfun)


=============> beta: 0.027 <==============
 iter	                cost val	     grad. norm
    0	+8.0958789200210023e+08	1.20288608e+04
    1	+8.0957586319100380e+08	1.20287656e+04
    2	+8.0952774874319291e+08	1.20283853e+04
    3	+8.0933530373758209e+08	1.20268765e+04
    4	+8.0856573085805476e+08	1.20210411e+04
    5	+8.0549091451866901e+08	1.20008572e+04
    6	+7.9325661285925841e+08	1.19679036e+04
    7	+7.4577959861365700e+08	1.23466336e+04
    8	+5.8893889885144424e+08	1.33534833e+04
    9	+2.0524870869889289e+08	7.58166860e+03
   10	+3.8323452141430102e+07	3.22788074e+03
   11	+6.9461862396776853e+06	1.36976165e+03
   12	+1.7266489398919148e+06	6.64574862e+02
   13	+1.4881131930310647e+06	7.41213220e+02
   14	+7.7779379135055118e+05	4.40864143e+02
   15	+2.8793512487296131e+05	1.79112753e+02
   16	+2.2099297770682158e+05	1.39639509e+02
   17	+1.9275661260322836e+05	1.44728058e+02
   18	+1.5297804563172508e+05	1.12012559e+02
   19	+1.3553683353563512e+05	2.00467168e+02
   20	+1.0058883158054241e+05	1.27173627e+02
   21	+9.7080707217576317e+04	2.41180830e+02
   22	+8.4725451750356224e+04	1.92471804e+02
   23	+5.8750087849634656e+04	7.98288901e+01
   24	+4.4052188828596518e+04	1.18942997e+02
   25	+2.8362040041883032e+04	5.90656367e+01
   26	+2.0075219528666228e+04	4.19463442e+01
   27	+1.9957900100688261e+04	6.12125017e+01
   28	+1.9492976215819486e+04	6.01659825e+01
   29	+1.7704567288205282e+04	5.59915070e+01
   30	+1.1772166832174089e+04	4.00660297e+01
   31	+8.6146545543979919e+03	5.01572612e+01
   32	+1.6668068407199148e+03	1.67990079e+01
   33	+3.6266232081760501e+02	1.13627973e+01
   34	+4.1083289474329362e+01	2.90050163e+00
   35	+1.2590276223876439e+01	2.17728021e+00
   36	+2.7591487075745853e+00	9.48558536e-01
   37	+6.3416893619718573e-01	3.58344871e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 78.958858 [s] (excludes statsfun)


=============> beta: 0.0081 <==============
 iter	                cost val	     grad. norm
    0	+8.0958789200210023e+08	1.20288608e+04
    1	+8.0957586319100380e+08	1.20287656e+04
    2	+8.0952774874319291e+08	1.20283853e+04
    3	+8.0933530373758209e+08	1.20268765e+04
    4	+8.0856573085805476e+08	1.20210411e+04
    5	+8.0549091451866901e+08	1.20008572e+04
    6	+7.9325661285925841e+08	1.19679036e+04
    7	+7.4577959861365700e+08	1.23466336e+04
    8	+5.8903173864285207e+08	1.33659654e+04
    9	+2.0737487593201917e+08	7.64383694e+03
   10	+2.0120376252631003e+08	8.23088016e+03
   11	+1.7731339309649533e+08	7.71080785e+03
   12	+9.5340875173259109e+07	5.57290782e+03
   13	+5.9969562725374520e+07	4.58350069e+03
   14	+3.6612516380890962e+06	1.02137716e+03
   15	+4.5761884904222935e+05	2.36924264e+02
   16	+3.5406028122449282e+05	2.43371103e+02
   17	+1.9694267644528142e+05	1.16368378e+02
   18	+1.5154890232258238e+05	1.49961080e+02
   19	+1.1650599385258103e+05	1.66442175e+02
   20	+5.9453451085640496e+04	1.01005001e+02
   21	+3.4164628678686626e+04	8.21754038e+01
   22	+2.2099129872760215e+04	8.07068801e+01
   23	+1.4520158078434779e+04	6.85545308e+01
   24	+7.5452891312202810e+03	4.57772630e+01
   25	+5.2237756012693571e+03	3.44024887e+01
   26	+4.1066389781605503e+03	2.93166728e+01
   27	+3.8901738050641670e+03	2.56029857e+01
   28	+3.1835699063534103e+03	2.24777106e+01
   29	+2.7398597661814183e+03	1.94169551e+01
   30	+1.5894283844907231e+03	1.59278688e+01
   31	+9.7716946459700785e+02	1.32236865e+01
   32	+2.0836811000677994e+02	6.54339040e+00
   33	+3.3079170766133394e+01	3.19424467e+00
   34	+1.6343188553598853e+01	2.56464242e+00
   35	+1.3487344262211072e+00	5.48617219e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 72.732218 [s] (excludes statsfun)


=============> beta: 0.00243 <==============
 iter	                cost val	     grad. norm
    0	+8.0958789200210023e+08	1.20288608e+04
    1	+8.0957586319100380e+08	1.20287656e+04
    2	+8.0952774874319291e+08	1.20283853e+04
    3	+8.0933530373758209e+08	1.20268765e+04
    4	+8.0856573085805476e+08	1.20210411e+04
    5	+8.0549091451866901e+08	1.20008572e+04
    6	+7.9325661285925841e+08	1.19679036e+04
    7	+7.4577959861365700e+08	1.23466336e+04
    8	+5.8906180211071110e+08	1.33697774e+04
    9	+2.0806072625911921e+08	7.66360684e+03
   10	+1.9981393846654451e+08	8.20321486e+03
   11	+1.6825512634819537e+08	7.50584504e+03
   12	+6.7059381160168707e+07	4.61767328e+03
   13	+2.6342548011968926e+07	3.01850754e+03
   14	+8.6349640283707846e+06	1.70262739e+03
   15	+4.4437875001847022e+05	2.28163708e+02
   16	+2.3489695836274995e+05	1.24357169e+02
   17	+2.3167063920323571e+05	1.86262643e+02
   18	+2.1941786574985075e+05	1.69346102e+02
   19	+1.7879385449177230e+05	1.27969744e+02
   20	+1.1055629079066352e+05	1.13644995e+02
   21	+6.9756188397117978e+04	1.05177874e+02
   22	+3.8086746754861932e+04	7.77346671e+01
   23	+3.1787985822766772e+04	9.97366450e+01
   24	+1.2893100840006497e+04	5.31794139e+01
   25	+4.1176693166757250e+03	3.17083458e+01
   26	+1.7985265571876996e+03	2.64917546e+01
   27	+5.1862470610320520e+02	1.42163855e+01
   28	+1.3113292055603688e+02	6.93870707e+00
   29	+8.0706525729865774e+01	5.90177589e+00
   30	+1.2673547912575671e+01	2.18715520e+00
   31	+5.2319114283894024e+00	1.45257335e+00
   32	+2.1728069850055838e+00	9.56579495e-01
   33	+7.3418680667372582e-01	5.56092185e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 73.639841 [s] (excludes statsfun)


=============> beta: 0.000729 <==============
 iter	                cost val	     grad. norm
    0	+8.0958789200210023e+08	1.20288608e+04
    1	+8.0957586319100380e+08	1.20287656e+04
    2	+8.0952774874319291e+08	1.20283853e+04
    3	+8.0933530373758209e+08	1.20268765e+04
    4	+8.0856573085805476e+08	1.20210411e+04
    5	+8.0549091451866901e+08	1.20008572e+04
    6	+7.9325661285925841e+08	1.19679036e+04
    7	+7.4577959861365700e+08	1.23466336e+04
    8	+5.8907102825644171e+08	1.33709272e+04
    9	+2.0827085651979738e+08	7.66963814e+03
   10	+1.9938603829572916e+08	8.19466865e+03
   11	+1.6550835816932070e+08	7.44255827e+03
   12	+5.9344256046432361e+07	4.32177258e+03
   13	+4.7383465491319299e+07	4.09003035e+03
   14	+1.2222015298758598e+07	2.00481650e+03
   15	+3.5887876918368679e+06	1.07710275e+03
   16	+5.5883911556462781e+05	3.47025137e+02
   17	+2.1651398484048981e+05	9.23653186e+01
   18	+2.0217270738918433e+05	1.67044304e+02
   19	+1.5870200181483975e+05	1.14899359e+02
   20	+1.0592535775667720e+05	1.16906536e+02
   21	+5.6807846434246065e+04	8.07022743e+01
   22	+3.5035424592302676e+04	7.67104505e+01
   23	+2.0826243904382860e+04	7.02795728e+01
   24	+8.7219333716994515e+03	3.88588322e+01
   25	+4.9580675949836959e+03	3.32912904e+01
   26	+3.9925470234403738e+03	2.83395069e+01
   27	+2.2725562990709477e+03	1.68882669e+01
   28	+6.3661193103740118e+02	1.21134834e+01
   29	+4.3100378325967517e+02	1.36300175e+01
   30	+2.2380464677487065e+01	1.93026917e+00
   31	+7.0719679329161291e+00	1.70125407e+00
   32	+6.6979350422107164e-01	4.65447882e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 71.107834 [s] (excludes statsfun)


=============> beta: 0.0002187 <==============
 iter	                cost val	     grad. norm
    0	+8.0958789200210023e+08	1.20288608e+04
    1	+8.0957586319100380e+08	1.20287656e+04
    2	+8.0952774874319291e+08	1.20283853e+04
    3	+8.0933530373758209e+08	1.20268765e+04
    4	+8.0856573085805476e+08	1.20210411e+04
    5	+8.0549091451866901e+08	1.20008572e+04
    6	+7.9325661285925841e+08	1.19679036e+04
    7	+7.4577959861365700e+08	1.23466336e+04
    8	+5.8907381496475863e+08	1.33712727e+04
    9	+2.0833429094202602e+08	7.67145655e+03
   10	+1.9925668469198674e+08	8.19208247e+03
   11	+1.6468191130849352e+08	7.42340920e+03
   12	+5.7106720680401027e+07	4.23222686e+03
   13	+5.5472778190157965e+07	4.42938050e+03
   14	+4.9140666527070984e+07	4.15982882e+03
   15	+2.7265238944808833e+07	3.05988544e+03
   16	+1.1158718831416773e+07	1.94102872e+03
   17	+2.6886319927983121e+06	9.17910441e+02
   18	+1.3895550927181118e+06	6.40324391e+02
   19	+2.3229391007085502e+05	1.19057959e+02
   20	+1.7118708291226847e+05	1.23037369e+02
   21	+1.3541027092300577e+05	1.54076853e+02
   22	+9.9677331866040477e+04	1.45248806e+02
   23	+7.8286317493348528e+04	1.48330935e+02
   24	+3.2127283433600365e+04	6.59228281e+01
