tensor_size   100   100   100

tensor_rank    10    10    10

OS    20

conjugategradient	linesearchdefault

=============> beta: 1 <==============
 iter	                cost val	     grad. norm
    0	+3.4786102557527646e+07	2.35118578e+03
    1	+3.4783751446651354e+07	2.35104724e+03
    2	+3.4774348203395918e+07	2.35049463e+03
    3	+3.4736754552503943e+07	2.34830892e+03
    4	+3.4586696442817517e+07	2.33996029e+03
    5	+3.3991936246643819e+07	2.31271091e+03
    6	+3.1710084491425842e+07	2.27738204e+03
    7	+2.3925851348571505e+07	2.24895018e+03
    8	+6.9372982673762515e+06	1.30759896e+03
    9	+1.6051420229724760e+06	6.68011823e+02
   10	+1.2268416712885180e+06	5.73192688e+02
   11	+4.5460975215996843e+05	2.91824752e+02
   12	+4.4260795558151964e+05	3.60795093e+02
   13	+4.0346976261949213e+05	3.32848215e+02
   14	+2.6440770707445405e+05	2.60619015e+02
   15	+5.6500872028120415e+04	1.04879740e+02
   16	+5.4159168031129389e+04	9.29379905e+01
   17	+4.5948157126592341e+04	7.91813586e+01
   18	+2.2847382214320001e+04	3.78588766e+01
   19	+1.3892777392996875e+04	2.80670448e+01
   20	+1.3057615955859063e+04	3.68065246e+01
   21	+1.1071179954752792e+04	3.16265211e+01
   22	+5.8170177994301066e+03	1.82881505e+01
   23	+3.1081159763780684e+03	1.68099465e+01
   24	+2.4909525473766644e+03	1.85019594e+01
   25	+1.7209457064663773e+03	1.62625289e+01
   26	+5.9490283035725838e+02	1.11979383e+01
   27	+2.7312100532627784e+02	7.47192275e+00
   28	+1.2818602613623099e+02	4.69256398e+00
   29	+3.5931760985877609e+01	3.34382364e+00
   30	+1.8622120790158526e+01	1.90922670e+00
   31	+2.0338436691764756e+00	6.99004729e-01
   32	+2.3990055933206159e-01	2.31029235e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 8.592298 [s] (excludes statsfun)


=============> beta: 0.3 <==============
 iter	                cost val	     grad. norm
    0	+3.4786102557527646e+07	2.35118578e+03
    1	+3.4783751446651354e+07	2.35104724e+03
    2	+3.4774348203395918e+07	2.35049463e+03
    3	+3.4736754552503943e+07	2.34830892e+03
    4	+3.4586696442817517e+07	2.33996029e+03
    5	+3.3991936246643819e+07	2.31271091e+03
    6	+3.1710084491425842e+07	2.27738204e+03
    7	+2.3900830071355417e+07	2.26032749e+03
    8	+7.2335107752400711e+06	1.34616845e+03
    9	+1.5515416068487787e+06	6.38914100e+02
   10	+1.2021806004276439e+06	5.88810500e+02
   11	+2.6708349256117782e+05	2.43081815e+02
   12	+4.2514856898872204e+04	7.09005416e+01
   13	+1.7224807285380288e+04	2.84023261e+01
   14	+1.6040854476116272e+04	3.45277203e+01
   15	+1.2835066693699275e+04	2.43522245e+01
   16	+1.1888798528640400e+04	4.12065981e+01
   17	+8.6349709826646995e+03	3.11874782e+01
   18	+4.8330813389455816e+03	2.90118914e+01
   19	+2.4094632613457043e+03	2.23306821e+01
   20	+1.2173464594766997e+03	1.86132390e+01
   21	+2.3843721255410773e+02	7.42098638e+00
   22	+4.9612232282184991e+01	3.90288687e+00
   23	+5.8061655706763995e+00	1.04513924e+00
   24	+1.3991409090889300e+00	6.29241423e-01
   25	+9.9746645719822769e-01	6.35765273e-01
   26	+5.7796463892125283e-02	1.30555903e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 7.261425 [s] (excludes statsfun)


=============> beta: 0.09 <==============
 iter	                cost val	     grad. norm
    0	+3.4786102557527646e+07	2.35118578e+03
    1	+3.4783751446651354e+07	2.35104724e+03
    2	+3.4774348203395918e+07	2.35049463e+03
    3	+3.4736754552503943e+07	2.34830892e+03
    4	+3.4586696442817517e+07	2.33996029e+03
    5	+3.3991936246643819e+07	2.31271091e+03
    6	+3.1710084491425842e+07	2.27738204e+03
    7	+2.3902364126501665e+07	2.26573727e+03
    8	+7.6111279340702761e+06	1.39108424e+03
    9	+1.4825578809901010e+06	6.02789170e+02
   10	+2.0299687403122245e+05	1.99568702e+02
