tensor_size   200   200   200

tensor_rank    15    15    15

OS    30

conjugategradient	linesearchdefault

=============> beta: 1 <==============
 iter	                cost val	     grad. norm
    0	+1.1038975003060865e+09	1.00043430e+04
    1	+1.1038874959972463e+09	1.00042778e+04
    2	+1.1038474793092556e+09	1.00040169e+04
    3	+1.1036874213232107e+09	1.00029755e+04
    4	+1.1030473301399491e+09	9.99884630e+03
    5	+1.1004892490545340e+09	9.98290758e+03
    6	+1.0902952400354915e+09	9.92810047e+03
    7	+1.0501919471910162e+09	9.82735703e+03
    8	+9.0287747692560470e+08	1.01505145e+04
    9	+4.7950422099322635e+08	8.71000858e+03
   10	+3.3205003169411546e+08	7.61276572e+03
   11	+3.1415434365217566e+08	7.20815593e+03
   12	+2.4699885140934676e+08	6.34871446e+03
   13	+5.8031934626840420e+07	2.85313169e+03
   14	+4.0545953519627795e+07	2.78805287e+03
   15	+3.5096938293591797e+07	2.36850055e+03
   16	+1.7054691753207788e+07	1.57523436e+03
   17	+2.8528426163493614e+06	6.57665469e+02
   18	+2.2552187440921338e+06	5.08948540e+02
   19	+1.4567606653195817e+06	3.66401824e+02
   20	+7.5383369821500860e+05	2.65510049e+02
   21	+5.3847323615625128e+05	2.20745049e+02
   22	+4.2265961483369919e+05	1.49096540e+02
   23	+3.0752276375327364e+05	9.87764041e+01
   24	+2.6547318249125825e+05	1.65983193e+02
   25	+2.5719270171516581e+05	1.25396495e+02
   26	+2.3112529286023127e+05	9.92529315e+01
   27	+1.5328948898872023e+05	6.97906276e+01
   28	+1.0402165432252942e+05	9.13439333e+01
   29	+9.7104276318074379e+04	7.51508569e+01
   30	+7.2248687380301635e+04	6.36042940e+01
   31	+2.6386811328071319e+04	4.03018237e+01
   32	+1.7703518314775414e+04	3.34037088e+01
   33	+1.6009628976560818e+04	4.25364650e+01
   34	+1.2968657434249038e+04	3.48019735e+01
   35	+4.0809353666604234e+03	1.85371665e+01
   36	+3.2979426524153621e+02	5.92748880e+00
   37	+1.3643480065336479e+02	3.82693624e+00
   38	+9.1902417114354648e+01	3.78471294e+00
   39	+7.9720216187034410e+01	2.88159399e+00
   40	+3.9157074413006853e+01	1.94870914e+00
   41	+2.3887165838294830e+00	5.67768015e-01
   42	+1.1038122373555472e+00	4.14807047e-01
User defined stopfun criterion triggered. See options.stopfun.
Total time is 120.243683 [s] (excludes statsfun)


=============> beta: 0.3 <==============
 iter	                cost val	     grad. norm
    0	+1.1038975003060865e+09	1.00043430e+04
    1	+1.1038874959972463e+09	1.00042778e+04
    2	+1.1038474793092556e+09	1.00040169e+04
    3	+1.1036874213232107e+09	1.00029755e+04
    4	+1.1030473301399491e+09	9.99884630e+03
    5	+1.1004892490545340e+09	9.98290758e+03
    6	+1.0902952400354915e+09	9.92810047e+03
    7	+1.0501919471910162e+09	9.82735703e+03
    8	+9.0287747692560470e+08	1.01505145e+04
    9	+4.8267292204113370e+08	8.74028422e+03
   10	+3.2724504413814986e+08	7.53745356e+03
   11	+4.4119096883937478e+07	2.56896676e+03
   12	+2.5762510418818317e+07	2.18976560e+03
   13	+6.9902050905731972e+06	1.00859982e+03
   14	+2.2762498427136620e+06	5.87476832e+02
